"id_str","text"
"1274653088553463808","RT @Aryprasetyo85: #RekayasaDidzolimi 
Eksekusi penembakan dilakukan pada malam hari.

Novel tampak menembak kaki kiri Erwansyah menggunakan senjata api jenis revolver berisi enam peluru hingga tersangka tersungkur. Lalu Novel juga menembak kaki kanan Dedi Muryadi.
https://t.co/tu6QB5mOjN"
"1274653047923208192","RT @BadjaNuswantara: Neta S Pane: ""Kasus (air keras) didramatisasi &amp; dipolitisasi...tujuannya hy utk menutupi kasus Novel yg sdh mjd tersangka pembunuhan...
Tragisnya,... orang2 yg mlakukan penyesatan hukum itu adlh pakar2 hukum, aktivis HAM"".

SPEECHLESS😶 
#RekayasaDidzolimi
https://t.co/WB3ftlIrpj"
"1274653029795368966","RT @Aryprasetyo85: #RekayasaDidzolimi
Novel Baswedan Diminta Setop Sandiwara Politik

Novel diminta utk tdk bermain drama atau bersandiwara politik seakan menjadi korban kejahatan berat.

Sebab,kasus penembakan pelaku pencurian sarang burung walet hingga kini blm dituntaskan
https://t.co/zPhR8yPDwP"
"1274652965731614721","[BREAKING] ""Presiden selaku Eksekutif memiliki kewenangan untuk menginisiasi proses hukum yang lebih adil untuk kasus Novel Baswedan. Kita menunggu komitmen Presiden dalam mendukung upaya pemberantasan korupsi."" kata Herlambang."
"1274652858852315136","RT @KompasTV: Novel Baswedan Berharap di Ulang Tahun ke 59 Presiden Jokowi Tetap Ingat Penegakan Hukum https://t.co/5gOAQjr39d https://t.co/MKDNnWpVeX"
"1274652661330046977","RT @kompascom: ""Selamat ulang tahun Pak Presiden Jokowi. Semoga bapak tetap ingat dan peduli dengan masalah kemanusiaan dan penegakan hukum yang sangat perlu sikap keberpihakan bapak,"" kata Novel Baswedan | #HBD59Jokowi     https://t.co/DRwn3FlfIp"
"1274652121728614405","RT @TeddyGusnaidi: Novel jadi korban penyiraman air keras, wajar jika menuntut keadilan. Begitupun korban penganiayaan kasus sarang burung wallet, wajar jika menuntut keadilan. Jangan malah dituduh rekayasa..

Hukum tidak bisa diatur sesuai selera anda, Novel baswedan.."
"1274652095103156224","RT @TeddyGusnaidi: Novel jadi korban penyiraman air keras, wajar jika menuntut keadilan. Begitupun korban penganiayaan kasus sarang burung wallet, wajar jika menuntut keadilan. Jangan malah dituduh rekayasa..

Hukum tidak bisa diatur sesuai selera anda, Novel baswedan.."
"1274651842018865153","@DTanjung15 @Dennysiregar7 @NajwaShihab Dikira sekelas novel tahu UU. Hehehehe&gt;https://t.co/gfuPEVXz1o: Luar Biasa! Ini Ucapan Selamat Ultah Buat Jokowi dari Novel Baswedan.
https://t.co/R6iKVF9FJ6

melalui @GoogleNews"
"1274651730307723266","RT @JKDaulay: ""Ada beberapa hal janggal dari semua hal yang dialami, dari rekaman CCTV, bentuk luka, perban, dan kepala yang diperban. Tapi, tiba-tiba malah mata yang buta,"" kata Dewi.
https://t.co/2KNVEC5cdn

gimmick dihiasi dengan playing victim.
kadrun banget 😁

#BasmiCovidDanKadrunKomunis"
"1274651293601021952","Kenapa kasus Novel Baswedan panjang?
Karna kalo pendek namanya Cerpen Baswedan."
"1274651059114278912","RT @TeddyGusnaidi: Novel jadi korban penyiraman air keras, wajar jika menuntut keadilan. Begitupun korban penganiayaan kasus sarang burung wallet, wajar jika menuntut keadilan. Jangan malah dituduh rekayasa..

Hukum tidak bisa diatur sesuai selera anda, Novel baswedan.."
